 sid  | stid |      name       | ord | opt 
------+------+-----------------+-----+-----
 6889 |   23 | donation-aim-pl |   1 |   1
 6889 |   23 | donation-aim-pl |   0 |   1
 6893 |   23 | donation-aim-pl |   1 |   2
 6893 |   23 | donation-aim-pl |   0 |   1
 6895 |   23 | donation-aim-pl |   0 |   1
 6895 |   23 | donation-aim-pl |   1 |   3
 6896 |   23 | donation-aim-pl |   0 |   2
 6896 |   23 | donation-aim-pl |   1 |   1
 6897 |   23 | donation-aim-pl |   1 |   2
 6897 |   23 | donation-aim-pl |   0 |   1
 6898 |   23 | donation-aim-pl |   1 |   0
 6898 |   23 | donation-aim-pl |   0 |   1
 6899 |   23 | donation-aim-pl |   1 |   2
 6899 |   23 | donation-aim-pl |   0 |   1
 6900 |   23 | donation-aim-pl |   1 |   1
 6900 |   23 | donation-aim-pl |   0 |   1
 6901 |   23 | donation-aim-pl |   0 |   1
 6901 |   23 | donation-aim-pl |   1 |   2
 6902 |   23 | donation-aim-pl |   1 |   2
 6902 |   23 | donation-aim-pl |   0 |   1
 6903 |   23 | donation-aim-pl |   0 |   2
 6903 |   23 | donation-aim-pl |   1 |   2
 6904 |   23 | donation-aim-pl |   0 |   1
 6904 |   23 | donation-aim-pl |   1 |   1
 6905 |   23 | donation-aim-pl |   1 |   2
 6905 |   23 | donation-aim-pl |   0 |   2
 6906 |   23 | donation-aim-pl |   0 |   3
 6907 |   23 | donation-aim-pl |   0 |   2
 6907 |   23 | donation-aim-pl |   1 |   1
 6908 |   23 | donation-aim-pl |   1 |   1
 6908 |   23 | donation-aim-pl |   0 |   2
 6909 |   23 | donation-aim-pl |   0 |   0
 6909 |   23 | donation-aim-pl |   1 |   0
 6910 |   23 | donation-aim-pl |   1 |   2
 6910 |   23 | donation-aim-pl |   0 |   1
 6911 |   23 | donation-aim-pl |   1 |   2
 6911 |   23 | donation-aim-pl |   0 |   1
 6912 |   23 | donation-aim-pl |   1 |   2
 6912 |   23 | donation-aim-pl |   0 |   1
 6913 |   23 | donation-aim-pl |   1 |   1
 6913 |   23 | donation-aim-pl |   0 |   1
 6914 |   23 | donation-aim-pl |   0 |   1
 6914 |   23 | donation-aim-pl |   1 |   1
 6915 |   23 | donation-aim-pl |   1 |   2
 6915 |   23 | donation-aim-pl |   0 |   1
 6916 |   23 | donation-aim-pl |   0 |   3
 6917 |   23 | donation-aim-pl |   0 |   1
 6917 |   23 | donation-aim-pl |   1 |   3
 6918 |   23 | donation-aim-pl |   1 |   2
 6918 |   23 | donation-aim-pl |   0 |   0
 6919 |   23 | donation-aim-pl |   1 |   2
 6919 |   23 | donation-aim-pl |   0 |   0
 6922 |   23 | donation-aim-pl |   1 |   1
 6922 |   23 | donation-aim-pl |   0 |   1
 6924 |   23 | donation-aim-pl |   0 |   2
 6924 |   23 | donation-aim-pl |   1 |   2
 6925 |   23 | donation-aim-pl |   0 |   1
 6925 |   23 | donation-aim-pl |   1 |   1
 6927 |   23 | donation-aim-pl |   1 |   1
 6927 |   23 | donation-aim-pl |   0 |   1
 6928 |   23 | donation-aim-pl |   0 |   1
 6928 |   23 | donation-aim-pl |   1 |   2
 6929 |   23 | donation-aim-pl |   1 |   0
 6929 |   23 | donation-aim-pl |   0 |   2
 6930 |   23 | donation-aim-pl |   1 |   1
 6930 |   23 | donation-aim-pl |   0 |   2
 6931 |   23 | donation-aim-pl |   1 |   2
 6931 |   23 | donation-aim-pl |   0 |   1
 6932 |   23 | donation-aim-pl |   1 |   1
 6932 |   23 | donation-aim-pl |   0 |   1
 6933 |   23 | donation-aim-pl |   1 |   0
 6933 |   23 | donation-aim-pl |   0 |   1
 6934 |   23 | donation-aim-pl |   0 |   3
